Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars),Temperature (C)
0.71,7.824600000000001,341,11.0768,1005.1,17.36111111111111
0.74,15.584800000000001,15,10.851400000000002,1004.65,17.205555555555556
0.81,23.6992,348,10.8836,1004.04,15.633333333333333
0.9,20.9622,321,7.615300000000001,1004.08,13.577777777777776
0.86,22.395100000000003,311,2.6565,1004.61,10.911111111111111
0.99,26.500600000000002,339,2.6565,1004.99,8.800000000000002
0.93,23.2162,340,3.8157000000000005,1004.85,8.961111111111112
0.96,25.4219,330,4.4919,1004.96,8.199999999999998
0.96,28.1267,339,4.4436,1005.14,7.688888888888891
0.96,19.2878,339,5.6833,1005.05,7.766666666666664
0.96,20.447,341,3.1073,1004.8,8.199999999999998
0.93,27.8691,19,3.2039,1004.89,8.177777777777777
0.82,6.745900000000001,277,14.0553,1007,7.311111111111109
0.93,14.9086,9,6.118,1004.3,7.644444444444442
0.93,25.035500000000003,0,6.118,1003.68,6.622222222222224
0.93,19.8352,350,6.166300000000001,1003.86,6.683333333333334
0.93,28.0945,349,7.969500000000001,1003.57,6.0888888888888895
0.93,27.9818,348,6.3434,1003.96,6.066666666666667
0.93,30.863700000000005,349,10.5455,1004.1,6.144444444444446
0.8,32.1678,349,11.2056,1004.26,7.1333333333333355
0.86,26.5328,339,11.270000000000001,1004.18,7.205555555555555
0.84,28.336000000000006,339,10.5455,1004.23,7.566666666666666
0.77,29.833300000000005,348,11.270000000000001,1004.47,8.900000000000002
0.71,28.480900000000005,339,11.270000000000001,1004.52,9.961111111111112
0.71,28.5131,338,11.0768,1004.29,9.888888888888888
0.71,25.695600000000002,320,11.270000000000001,1003.93,11.066666666666668
0.76,25.3414,311,11.270000000000001,1004,10.116666666666667
0.66,21.413000000000004,311,9.982000000000001,1004.3,11.038888888888888
0.7,17.8549,310,14.9086,1004,10.65
0.7,15.1984,328,9.982000000000001,1004.39,10.050000000000002
0.66,15.729700000000001,348,11.0285,1005.48,9.899999999999999
0.71,12.3648,20,9.982000000000001,1005.89,8.794444444444444
0.72,13.894300000000003,28,15.826300000000002,1006.37,7.827777777777779
0.72,9.8049,11,15.005200000000002,1006.56,7.855555555555556
0.75,6.6654,326,15.874600000000001,1007.07,7.316666666666667
0.75,7.1162,309,15.874600000000001,1007.37,7.244444444444444
0.88,3.7191000000000005,193,9.982000000000001,1012.23,5.438888888888888
0.76,14.4739,273,15.826300000000002,1007.28,7.200000000000001
0.7,20.5275,300,15.826300000000002,1007.18,6.688888888888888
0.73,19.303900000000002,309,14.9569,1007.39,6.211111111111111
0.76,17.436300000000003,300,9.982000000000001,1007.67,6.111111111111111
0.76,20.4148,300,9.982000000000001,1007.98,6.111111111111111
0.76,17.0499,307,9.982000000000001,1008.57,6.172222222222222
0.71,20.511400000000002,319,9.982000000000001,1008.87,7.222222222222222
0.73,17.6456,328,9.982000000000001,1009.44,7.288888888888888
0.72,14.4095,318,9.982000000000001,1010.03,7.405555555555555
0.7,10.7548,321,10.0464,1010.22,7.96111111111111
0.7,4.8622000000000005,349,10.0464,1010.39,8.033333333333335
0.65,2.3828,348,10.0303,1010.24,9.07777777777778
0.62,0.32200000000000006,243,9.982000000000001,1010,9.049999999999999
0.65,3.2522,177,11.2056,1009.98,9.049999999999999
0.65,3.0107000000000004,170,11.0285,1010.05,9.183333333333334
0.7,10.465,172,9.982000000000001,1010.1,9.072222222222221
0.75,7.3416,172,9.982000000000001,1010.39,7.9833333333333325
0.75,9.5151,150,9.982000000000001,1010.91,8.072222222222223
0.82,9.9981,142,9.982000000000001,1011.32,7.894444444444446
0.83,13.685,141,11.9784,1011.61,7.311111111111109
0.84,11.543700000000001,141,14.168000000000003,1011.97,7.33888888888889
0.85,12.719000000000001,142,14.9086,1012.22,6.622222222222224
0.88,12.8961,130,14.9086,1012.74,6.066666666666667
0.88,0.6923,359,15.005200000000002,1015.35,8.338888888888887
0.91,5.5384,166,9.982000000000001,1013.29,5.183333333333333
0.94,5.2003,145,9.982000000000001,1013.39,3.7222222222222237
0.93,5.618900000000001,170,5.9248,1013.45,4.855555555555557
0.92,4.7656,178,1.2236,1013.4,5.211111111111112
0.92,7.921200000000001,223,7.212800000000001,1013.81,6.255555555555555
0.87,9.7566,240,10.6743,1014.7,7.794444444444445
0.76,9.6922,231,11.2056,1014.67,10.050000000000002
0.66,14.49,230,9.982000000000001,1014.66,12.200000000000001
0.63,20.334300000000002,214,11.0285,1014.8,12.7
0.58,23.5865,222,11.270000000000001,1014.47,13.933333333333332
0.59,22.2985,241,11.270000000000001,1014.16,15.094444444444447
0.5,14.715400000000002,235,11.4471,1014.07,15.150000000000002
0.44,14.49,238,11.270000000000001,1013.34,16.177777777777777
0.55,14.715400000000002,211,11.270000000000001,1012.72,16.25
0.5,19.593700000000002,221,11.4471,1012.38,16.29444444444444
0.56,14.828100000000003,215,11.125100000000002,1012.38,16.099999999999998
0.68,11.9784,224,11.270000000000001,1012.72,12.955555555555556
0.64,11.559800000000001,231,11.4471,1013.42,13.850000000000001
0.69,14.2485,358,10.0464,1014.41,12.777777777777779
0.72,11.253900000000002,8,15.874600000000001,1014.89,12.149999999999999
0.81,5.7799000000000005,59,15.005200000000002,1014.91,10.677777777777777
0.83,2.6404,63,15.874600000000001,1014.75,10.444444444444443
0.8,5.313,65,15.874600000000001,1015.55,9.822222222222223
0.74,11.382700000000002,146,14.9569,1015.7,11.027777777777779
0.93,3.6547,305,14.9086,1016.43,7.138888888888889
0.89,10.867500000000001,327,14.9086,1016.56,7.622222222222222
0.86,6.5205,319,13.379100000000001,1017.15,7.6277777777777755
0.86,11.398800000000001,271,9.982000000000001,1017.37,7.044444444444444
0.84,9.66,297,9.982000000000001,1018.25,8.599999999999998
0.84,15.955100000000002,289,9.982000000000001,1019.24,9.649999999999999
0.72,13.1698,310,9.982000000000001,1019.83,12.105555555555554
0.71,13.1698,301,11.2056,1020.51,12.777777777777779
0.65,9.6761,307,11.4471,1020.91,13.81111111111111
0.48,11.237800000000002,307,11.270000000000001,1020.6,16.016666666666666
0.47,12.7029,308,11.270000000000001,1020.39,17.127777777777776
0.43,10.6099,279,11.4471,1020.34,17.144444444444446
0.4,7.953400000000001,272,11.2056,1019.7,17.77777777777778
0.37,2.5921000000000003,351,11.2056,1018.89,17.77777777777778
0.43,11.012400000000001,175,10.3523,1018.48,17.805555555555557
0.52,9.193100000000001,172,9.982000000000001,1017.87,16.15555555555555
0.63,9.160900000000002,160,9.982000000000001,1017.56,14.049999999999999
0.67,9.2736,138,9.982000000000001,1017.38,13.08888888888889
0.72,9.450700000000001,141,9.982000000000001,1017.58,12.288888888888888
0.66,11.0768,141,15.826300000000002,1017.65,12.777777777777779
0.67,13.379100000000001,149,14.9569,1017.36,12.727777777777776
0.69,14.1358,151,15.826300000000002,1016.8,12.266666666666666
0.71,11.3183,158,15.826300000000002,1016.64,11.71111111111111
0.86,9.177000000000001,259,14.168000000000003,1013.13,10.82777777777778
0.59,14.168000000000003,141,15.826300000000002,1014.79,12.200000000000001
0.6,14.296800000000003,151,15.826300000000002,1014.25,12.200000000000001
0.68,13.8299,152,14.9569,1013.95,11.688888888888888
0.77,14.007,132,9.982000000000001,1013.63,11.205555555555556
0.77,15.488199999999999,150,9.982000000000001,1013.27,11.133333333333333
0.77,13.8782,163,10.3523,1013.56,11.43888888888889
0.81,14.457800000000002,209,9.982000000000001,1012.85,13.033333333333335
0.62,25.0194,221,11.270000000000001,1012.15,17.244444444444444
0.53,27.37,230,11.4471,1011.71,17.73888888888889
0.56,22.218000000000004,251,11.270000000000001,1011.28,17.84444444444445
0.56,23.5382,250,11.270000000000001,1010.99,18.86111111111111
0.56,19.8996,240,11.398800000000001,1010.93,18.666666666666664
0.56,17.5007,243,11.270000000000001,1010.7,17.82222222222222
0.59,17.693900000000003,281,11.270000000000001,1010.52,17.800000000000004
0.57,19.561500000000002,295,11.398800000000001,1010.69,17.349999999999998
0.67,21.815500000000004,280,11.2056,1010.86,16.06666666666667
0.73,17.2753,280,11.2056,1011.14,14.933333333333334
0.78,11.7691,279,11.286100000000001,1011.64,13.922222222222224
0.84,11.0446,270,11.0768,1012.02,12.755555555555556
0.84,11.0607,277,15.697500000000002,1012.21,12.755555555555556
0.86,7.293300000000001,239,14.876400000000002,1012.33,12.372222222222225
0.93,6.923,241,15.826300000000002,1012.6,11.183333333333334
0.9,11.1734,242,15.826300000000002,1012.8,11.666666666666666
0.95,10.3201,266,6.8425,1012.66,8.977777777777776
0.93,11.1734,278,14.9086,1012.32,10.577777777777776
0.89,14.007,269,14.9086,1012.33,10.533333333333335
0.87,7.293300000000001,269,14.168000000000003,1012.55,10.58888888888889
0.89,6.7298,297,15.826300000000002,1012.71,9.983333333333333
0.86,7.889000000000001,307,9.982000000000001,1013.01,11.022222222222224
0.75,11.8657,305,9.982000000000001,1013.23,13.538888888888888
0.68,20.0123,308,11.2056,1013.31,13.88888888888889
0.67,17.581200000000003,300,11.2056,1013.4,15
0.57,15.955100000000002,319,11.4471,1013.27,17.183333333333334
0.62,16.309300000000004,309,11.270000000000001,1013.02,16.2
0.56,17.7744,290,11.2056,1013.03,17.75
0.54,19.078500000000002,297,15.359399999999999,1012.55,18.40555555555555
0.59,17.5973,319,11.270000000000001,1012.03,17.82222222222222
0.57,20.334300000000002,310,11.270000000000001,1011.81,17.31111111111111
0.55,13.7172,316,11.4471,1011.33,17.505555555555553
0.54,14.3773,309,9.982000000000001,1011.2,17.266666666666666
0.61,10.8997,310,9.982000000000001,1011.5,15.13888888888889
0.69,4.717300000000001,325,9.982000000000001,1011.76,13.25
0.72,4.6690000000000005,282,9.982000000000001,1012.01,12.294444444444444
0.79,3.5742000000000007,281,15.826300000000002,1012.31,10.699999999999998
0.85,5.7477,274,14.9569,1012.51,9.855555555555558
0.88,11.270000000000001,280,11.9784,1012.52,9.522222222222222
0.92,3.1234,255,11.9784,1012.61,8.405555555555557
0.82,9.6278,46,14.9569,1011.27,13.011111111111113
0.96,3.4293,277,4.2987,1012.54,7.733333333333334
0.96,3.3488,284,4.1216,1012.44,6.1388888888888875
0.95,2.9946,283,4.7656,1012.62,6.472222222222221
0.96,3.3005,313,2.9302,1012.75,6.627777777777777
0.93,1.4329,290,5.8443000000000005,1012.96,8.68888888888889
0.81,2.415,345,9.6117,1013.38,11.994444444444447
0.78,4.1538,16,9.6761,1013.14,13.766666666666667
0.77,7.3738,332,9.9015,1013.33,15.088888888888887
0.68,7.8084999999999996,350,11.0768,1013.56,16.455555555555556
0.62,7.3738,330,11.270000000000001,1013.61,17.31111111111111
0.64,8.372000000000002,12,11.270000000000001,1013.11,17.872222222222224
0.47,7.0679,39,11.4471,1012.69,19.038888888888884
0.51,10.867500000000001,3,11.270000000000001,1012.2,18.977777777777774
0.55,4.8139,9,11.2056,1011.7,19.00555555555555
0.53,4.7978000000000005,33,11.398800000000001,1011.4,19.01111111111111
0.64,10.9319,24,11.2056,1011.32,17.866666666666664
0.62,10.851400000000002,33,9.982000000000001,1011.23,17.266666666666666
0.61,5.0876,25,10.3523,1011.5,16.188888888888886
0.72,9.177000000000001,32,9.982000000000001,1012.05,14.883333333333333
0.75,10.9319,31,15.826300000000002,1012.15,14.327777777777776
0.75,6.3756,47,14.9569,1012.09,14.511111111111111
0.75,6.5366,67,15.826300000000002,1011.83,14.372222222222222
0.72,14.2163,60,15.826300000000002,1011.45,14.877777777777778
0.92,3.6064000000000007,144,2.0125,1012.05,10.405555555555553
0.83,8.4364,57,11.2056,1011.18,12.822222222222221
0.85,14.425600000000003,31,14.9086,1010.07,12.799999999999999
0.86,13.894300000000003,12,14.168000000000003,1009.83,12.82777777777778
0.85,15.778000000000002,12,11.2056,1009.8,12.266666666666666
0.85,15.584800000000001,2,11.270000000000001,1009.99,12.266666666666666
0.82,12.380900000000002,11,11.0768,1010.21,12.183333333333334
0.8,20.3826,11,11.270000000000001,1010.41,12.17222222222222
0.83,22.0892,19,11.270000000000001,1010.33,12.711111111111112
0.78,22.3468,18,10.3523,1010.43,15.605555555555558
0.78,18.064200000000003,20,11.2056,1010.29,16.022222222222226
0.67,17.6456,48,11.2056,1010.1,17.200000000000003
0.71,14.0875,46,11.0285,1009.96,17.21666666666667
0.69,13.4113,29,11.2056,1009.86,17.82777777777778
0.69,14.6188,19,11.2056,1009.47,17.82777777777778
0.69,9.2414,340,11.0285,1009.63,17.733333333333334
0.71,23.0713,39,11.2056,1009.39,16.272222222222222
0.93,3.7674,335,5.216400000000001,1011.07,13.166666666666668
0.93,3.1395,228,8.05,1011.23,13.255555555555555
0.93,10.3362,274,9.982000000000001,1011.35,13.011111111111113
0.91,5.796,310,14.9086,1011.67,12.455555555555556
0.9,9.8854,315,14.586600000000002,1011.76,12.488888888888887
0.8,6.488300000000001,146,15.826300000000002,1015.68,9.555555555555557
0.79,14.023100000000003,160,15.826300000000002,1015.41,10.622222222222222
0.93,4.5724,40,11.398800000000001,1014.98,8.722222222222223
0.77,10.770900000000001,143,15.826300000000002,1015.18,10.533333333333335
0.83,6.5366,133,15.826300000000002,1014.7,9.444444444444445
0.83,6.0858,163,14.9569,1014.64,9.888888888888888
0.78,10.706500000000002,136,15.826300000000002,1014.31,10.366666666666665
0.89,10.4972,158,11.2056,1014.63,8.88888888888889
0.84,8.0017,151,11.0285,1014.82,9.97777777777778
0.73,2.4633000000000003,355,9.982000000000001,1014.82,12.200000000000001
0.67,9.305800000000001,123,9.982000000000001,1015,13.961111111111112
0.67,7.1645,132,10.3523,1014.9,14.944444444444445
0.71,11.753,199,9.982000000000001,1014.35,16.183333333333334
0.61,7.1323,227,11.270000000000001,1014.51,16.366666666666667
0.57,3.6225,251,11.4471,1014.32,17.372222222222224
0.51,1.7549000000000001,156,11.270000000000001,1013.93,17.672222222222224
0.53,8.6779,113,11.270000000000001,1013.45,17.72222222222222
0.61,2.8336,261,11.398800000000001,1013.43,16.238888888888887
0.71,9.2414,357,11.2056,1013.58,14.066666666666666
0.76,7.422100000000001,147,11.2056,1013.24,13.955555555555556
0.8,3.5420000000000007,161,11.0285,1013.7,12.288888888888888
0.86,3.1073,149,9.9015,1014.14,10.02222222222222
0.86,6.44,190,15.6009,1014.34,9.377777777777778
0.9,4.6046000000000005,138,14.715400000000002,1014.6,9.416666666666668
0.92,3.0268,311,15.826300000000002,1011.68,11.827777777777776
0.91,5.1681,178,0.6118,1011.98,10.761111111111111
0.95,2.8497000000000003,298,3.6386,1015.64,12.155555555555557
0.94,5.7155000000000005,123,0.6118,1012.26,9.67222222222222
0.94,6.7620000000000005,10,0.6118,1012.63,8.15
0.95,5.618900000000001,133,1.1109,1012.62,10.2
0.99,2.254,127,0.5152,1012.85,10.116666666666667
0.99,0.3381,81,0.43470000000000003,1013.61,10.16111111111111
0.98,2.7531000000000003,358,0.6923,1013.9,11.244444444444447
0.99,2.254,152,2.2057,1014.31,12.244444444444444
0.92,8.0983,135,4.2021,1014.43,13.91111111111111
0.82,2.2862,153,6.3112,1014.73,15.616666666666667
0.86,3.2844,120,6.3434,1014.92,15.072222222222223
0.82,7.5992,162,8.1949,1014.73,15.072222222222223
0.87,10.5616,134,6.8908000000000005,1014.92,14.266666666666667
0.81,6.6654,115,7.2772,1014.76,16.016666666666666
0.86,7.711900000000001,139,7.2772,1014.37,15.027777777777779
0.89,7.2772,152,6.3112,1014.83,13.944444444444445
0.95,11.4793,310,4.7495,1015.11,12.916666666666666
0.95,5.2808,347,5.216400000000001,1015.14,12.894444444444446
0.98,2.3506,72,5.828200000000001,1015.5,12.399999999999999
0.99,8.05,320,6.1985,1015.76,12.266666666666666
0.96,6.1985,349,6.1985,1016.35,12.222222222222221
0.96,2.7692,335,3.8318,1016.38,11.25
0.96,3.1556,358,4.508,1016.43,11.527777777777779
0.96,5.9892,301,3.1234,1016.56,11.538888888888891
0.96,5.9731000000000005,326,1.8032000000000004,1017.23,9.43888888888889
0.96,6.279,340,3.8801000000000005,1016.17,11.43888888888889
0.96,6.44,350,3.864,1016.25,11.394444444444442
0.96,6.423900000000001,332,3.2522,1016.13,11.527777777777779
0.93,4.83,340,0.6440000000000001,1016.17,11.949999999999998
1,9.66,10,1.2558,1016.45,11.972222222222221
0.96,7.6636,7,2.3506,1016.94,12.633333333333335
0.96,7.969500000000001,1,4.025,1017.06,12.755555555555556
0.9,7.921200000000001,30,4.4919,1017.45,13.844444444444445
0.94,10.384500000000001,8,6.262900000000001,1017.77,13.172222222222224
0.86,8.1466,345,6.1985,1017.73,15.066666666666666
0.75,7.1645,308,11.270000000000001,1017.53,17.244444444444444
0.76,13.3469,352,11.0285,1017.31,16.316666666666666
0.74,13.620600000000001,353,11.270000000000001,1016.82,17.383333333333333
0.76,8.2754,85,11.270000000000001,1016.6,15.272222222222224
0.72,5.2808,49,11.0768,1016.39,17.45555555555556
0.77,11.157300000000001,21,11.270000000000001,1016.33,16.22222222222222
0.82,3.6869,23,11.270000000000001,1016.52,15.083333333333334
0.88,1.1431,35,9.6278,1016.81,13.994444444444444
0.92,0.6601,30,8.1305,1017.34,12.17222222222222
0.95,4.8461,56,1.0626000000000002,1017.54,11.08888888888889
0.95,3.3810000000000002,11,1.7871000000000004,1017.43,11.094444444444443
0.96,3.3649,349,1.0626000000000002,1017.65,9.883333333333333
0.96,6.423900000000001,321,3.3649,1017.56,9.355555555555558
0.96,3.2361,319,4.459700000000001,1016.16,9.86111111111111
0.99,3.3166,313,1.9159,1017.16,8.272222222222222
0.96,2.6243,337,1.7549000000000001,1017.15,8.866666666666667
0.96,3.9445000000000006,335,2.3667000000000002,1017.28,8.816666666666666
1,1.8515,319,0.2898,1017.15,7.155555555555556
0.99,3.4776000000000002,295,1.7549000000000001,1017.36,8.850000000000001
0.93,2.8819000000000004,285,2.5599000000000003,1017.7,11.177777777777777
0.98,3.4293,349,6.295100000000001,1017.72,12.388888888888888
0.88,4.8783,339,9.982000000000001,1017.82,14.144444444444446
0.72,3.059,308,11.0768,1017.77,17.1
0.64,4.2021,306,11.270000000000001,1017.3,18.93888888888889
0.68,4.0894,6,11.270000000000001,1016.9,17.916666666666668
0.53,1.2236,72,11.141200000000001,1016.4,19.983333333333334
0.62,9.064300000000001,352,11.270000000000001,1015.9,20.07222222222222
0.56,9.4829,2,11.270000000000001,1015.29,20.07222222222222
0.58,7.486500000000001,15,11.398800000000001,1014.9,20.083333333333336
0.63,9.1287,23,11.2056,1014.68,19.08888888888889
0.62,7.567000000000001,24,11.2056,1014.78,17.45
0.74,0.5152,116,9.982000000000001,1015.04,15.56666666666667
0.91,3.9445000000000006,197,9.982000000000001,1015.51,12.494444444444447
0.89,1.5295,140,15.826300000000002,1015.72,12.244444444444444
0.92,2.9624,275,14.9569,1015.79,11.416666666666664
0.95,6.0375000000000005,290,14.812,1015.83,10.555555555555555
0.93,3.0751,270,9.8049,1015.95,10.466666666666669
0.95,5.2969,278,4.7495,1017.13,10.250000000000002
0.96,1.5295,100,4.025,1015.82,9.355555555555558
0.96,3.22,300,2.0286,1015.82,8.311111111111112
0.96,3.3971,333,1.7388000000000001,1015.89,8.81111111111111
0.93,6.3434,304,0.7889,1015.83,8.733333333333333
0.93,11.270000000000001,140,9.8049,1016.12,11.93333333333333
0.84,1.7066000000000001,129,9.5473,1016.23,14.516666666666667
0.68,3.22,300,9.982000000000001,1016.23,18.733333333333334
0.6,7.245,160,9.982000000000001,1016.38,20.02777777777778
0.55,6.488300000000001,209,10.0303,1016.66,21.03888888888889
0.46,6.5044,179,15.874600000000001,1016.58,20.738888888888887
0.48,7.5348,235,11.270000000000001,1016.27,22.31666666666667
0.5,6.4561,145,11.4471,1015.96,22.11111111111111
0.38,1.0143,262,10.0464,1015.34,22.733333333333334
0.37,5.184200000000001,90,10.0464,1014.7,22.77777777777778
0.41,7.2772,58,11.4471,1015.2,21.216666666666665
0.45,1.4812,179,10.0464,1014.87,20.18333333333333
0.68,0.32200000000000006,157,9.982000000000001,1014.78,18.011111111111113
0.65,0.5313000000000001,139,9.982000000000001,1015.54,17.422222222222224
0.82,0,0,9.982000000000001,1016.01,13.961111111111112
0.89,2.8819000000000004,329,15.826300000000002,1016.52,13.28888888888889
0.89,2.4794,262,9.982000000000001,1016.96,12.322222222222223
0.95,3.1717,268,6.295100000000001,1017.04,11.116666666666665
0.95,11.270000000000001,280,6.295100000000001,1017.33,10.533333333333335
0.8,4.6207,172,14.168000000000003,1019.59,12.383333333333333
0.96,3.0751,273,3.8318,1017.25,9.86111111111111
0.95,1.5295,320,3.3649,1017.42,8.872222222222222
0.94,3.6386,317,4.2826,1017.74,8.672222222222222
1,0,0,0.7406,1018.13,7.688888888888891
0.99,1.61,210,4.1216,1018.62,10.911111111111111
0.82,2.6565,193,8.3398,1019.08,14.83888888888889
0.65,1.5295,140,9.982000000000001,1019.11,18.8
0.49,4.8783,199,9.982000000000001,1019.5,21.094444444444445
0.49,4.2826,226,11.0285,1019.86,22.027777777777782
0.47,3.6225,188,11.2056,1019.79,22.82777777777778
0.37,4.5563,292,9.982000000000001,1019.47,22.916666666666668
0.37,6.295100000000001,154,10.3523,1019.25,23.916666666666668
0.4,2.5599000000000003,333,9.982000000000001,1018.89,23.911111111111115
0.37,4.347,178,9.982000000000001,1018.6,23.93333333333333
0.32,1.1753,205,10.3523,1018.67,23.916666666666668
0.44,3.1234,214,9.982000000000001,1018.59,22.82222222222222
0.48,0.4025,181,9.982000000000001,1018.67,21.227777777777774
0.51,2.6887,185,9.982000000000001,1019.22,19.07777777777778
0.63,1.5778,228,9.982000000000001,1019.88,17.061111111111114
0.72,3.7513000000000005,136,15.826300000000002,1019.91,14.905555555555553
0.87,3.4132000000000002,185,14.9569,1020.02,13.083333333333332
0.89,3.2522,169,15.826300000000002,1020.11,12.711111111111112
0.89,3.1717,148,14.9086,1020.12,12.127777777777776
0.84,4.9910000000000005,68,14.9569,1018.38,11.81111111111111
0.8,6.262900000000001,169,14.9086,1019.91,12.016666666666667
0.8,6.423900000000001,187,14.812,1020.03,12.044444444444444
0.86,9.708300000000001,151,14.0875,1020.39,10.627777777777778
0.99,9.1448,141,6.118,1020.6,9.911111111111113
0.9,7.7440999999999995,169,9.9015,1020.81,12.555555555555555
0.78,8.758400000000002,154,9.9015,1021.01,15.005555555555553
0.74,12.187700000000001,150,9.982000000000001,1020.94,17.33888888888889
0.67,12.6224,150,9.982000000000001,1020.66,19.099999999999998
0.57,9.9176,147,10.3523,1020.53,21.261111111111106
0.54,11.4471,168,11.2056,1020.16,22.41111111111111
0.5,8.5491,155,11.2056,1019.95,22.938888888888894
0.47,11.3022,153,11.398800000000001,1019.43,23.927777777777774
0.47,8.3076,142,9.982000000000001,1018.97,23.96111111111111
0.38,8.5813,150,9.982000000000001,1018.28,23.96111111111111
0.42,10.706500000000002,145,10.3523,1017.97,23.111111111111107
0.44,12.4936,178,9.982000000000001,1017.68,22.82222222222222
0.47,5.216400000000001,137,9.982000000000001,1017.89,21.11111111111111
0.58,4.8622000000000005,95,10.3523,1017.96,18.188888888888886
0.72,4.6046000000000005,50,9.982000000000001,1018.31,16.016666666666666
0.72,6.44,80,15.826300000000002,1018.6,15.466666666666669
0.76,6.745900000000001,83,14.9569,1018.65,14.605555555555554
0.82,3.5420000000000007,73,15.826300000000002,1018.44,13.311111111111112
0.83,3.0751,70,15.826300000000002,1018.23,12.733333333333334
0.77,6.0858,50,14.9569,1014.58,13.788888888888888
0.88,6.44,190,15.826300000000002,1018.11,10.577777777777776
0.92,3.22,340,15.4721,1017.73,10.483333333333333
0.91,3.7513000000000005,48,14.876400000000002,1017.7,10.288888888888891
0.92,1.5617,106,10.980200000000002,1017.62,9.972222222222223
0.9,2.7048,193,9.8049,1017.54,13.638888888888888
0.74,7.245,147,10.3523,1017.7,16.73888888888889
